carta,era,cargo,peso_sorteio,peso_dramatico,tipo,total_2000_carreiras,Destro (r1),Destro (r2),Canhoto (r1),Canhoto (r2),Vitinho (r1),Vitinho (r2),Dembele (r1),Dembele (r2),Viciado (r1),Viciado (r2),Elon Musk (r1),Elon Musk (r2),Gabigol (r1),Gabigol (r2),CR7 (r1),CR7 (r2),Diego Ribas (r1),Diego Ribas (r2),Bruno (r1),Bruno (r2)
fio_apostas_b3bb,auge/declinio/legado,empresario,0,legado,arco,42,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,8,7
fio_fundo_b2a,travessia/auge,empresario,0,importante,arco,65,0,0,0,0,1,1,0,0,24,11,0,0,0,0,0,0,0,0,13,15
fio_fundo_b2b,travessia/auge,diretor,0,importante,arco,143,0,0,0,0,0,0,2,0,32,45,0,0,0,0,0,0,0,0,26,38
fio_fundo_b3aa,auge/declinio/legado,empresario,0,legado,arco,24,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,5,5
fio_fundo_b3ab,auge/declinio,diretor,0,legado,arco,23,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,5,6
fio_fundo_b3ba,auge/declinio/legado,empresario,0,legado,arco,81,0,0,0,0,0,0,0,0,23,27,0,0,0,0,0,0,0,0,15,16
fio_fundo_b3bb,auge/declinio,diretor,0,legado,arco,36,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,7,13
fio_cicatriz_b2a,travessia/auge,fisio,0,importante,arco,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5
fio_cicatriz_b2b,travessia/auge,capitao,0,importante,arco,26,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,6,7
fio_cicatriz_b3aa,auge/declinio,treinador,0,legado,arco,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,3
fio_cicatriz_b3ab,auge/declinio/legado,fisio,0,legado,arco,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
fio_cicatriz_b3ba,auge/declinio,treinador,0,legado,arco,14,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,4,2
fio_cicatriz_b3bb,auge/declinio/legado,imprensa,0,legado,arco,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
fio_microfone_b2a,auge/declinio,imprensa,0,importante,arco,28,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,8,10
fio_microfone_b2b,auge/declinio,organizada,0,importante,arco,36,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,7,8
fio_microfone_b3aa,declinio,diretor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_microfone_b3ab,declinio/legado,imprensa,0,legado,arco,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,3
fio_microfone_b3ba,declinio/legado,organizada,0,legado,arco,8,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2
fio_microfone_b3bb,declinio/legado,sucessor,0,legado,arco,9,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,3
fio_laranja_b2a,auge/declinio,empresario,0,importante,arco,20,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,2,2
fio_laranja_b2b,auge/declinio,diretor,0,importante,arco,8,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,2
fio_laranja_b3aa,declinio/legado,empresario,0,legado,arco,7,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1
fio_laranja_b3ab,declinio/legado,imprensa,0,legado,arco,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
fio_laranja_b3ba,declinio,diretor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_laranja_b3bb,declinio/legado,empresario,0,legado,arco,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
fio_sucessor_b2a,declinio,treinador,0,importante,arco,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
fio_sucessor_b2b,declinio/legado,imprensa,0,importante,arco,34,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,7,14
fio_sucessor_b3aa,declinio/legado,sucessor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_sucessor_b3ab,declinio/legado,sucessor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_sucessor_b3ba,legado,coord_base,0,legado,arco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fio_sucessor_b3bb,declinio/legado,sucessor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b2a,declinio/legado,companheira,0,importante,arco,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b2b,declinio/legado,filho,0,importante,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b3aa,declinio,diretor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b3ab,declinio/legado,filho,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b3ba,declinio/legado,filho,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_aniversario_b3bb,declinio/legado,imprensa,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_licenca_b2a,declinio,treinador,0,importante,arco,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3
fio_licenca_b2b,declinio,treinador,0,importante,arco,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
fio_licenca_b3aa,legado,coord_base,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_licenca_b3ab,legado,coord_base,0,legado,arco,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
fio_licenca_b3ba,legado,empresario,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_licenca_b3bb,legado,sucessor,0,legado,arco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fio_aptarde_b2a,auge/declinio,imprensa,0,importante,arco,111,0,0,0,0,0,0,1,0,36,35,0,0,0,0,0,0,0,0,16,23
fio_aptarde_b2b,auge/declinio,apostas,0,importante,arco,89,0,0,0,0,0,0,0,0,20,21,0,0,0,0,0,0,0,0,24,24
fio_aptarde_b3aa,declinio/legado,organizada,0,legado,arco,31,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,6,3
fio_aptarde_b3ab,declinio/legado,empresario,0,legado,arco,41,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,4,16
fio_aptarde_b3ba,declinio/legado,sucessor,0,legado,arco,30,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,7,12
fio_aptarde_b3bb,declinio/legado,imprensa,0,legado,arco,35,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,9,6
fio_valdir_b2a,travessia/auge/declinio,empresario,0,importante,arco,19,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,4,5
fio_valdir_b2b,travessia/auge/declinio,mae,0,importante,arco,17,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7,7
fio_valdir_b3aa,auge/declinio/legado,imprensa,0,legado,arco,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2
fio_valdir_b3ab,auge/declinio/legado,empresario,0,legado,arco,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2
fio_valdir_b3ba,auge/declinio/legado,companheira,0,legado,arco,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
fio_valdir_b3bb,auge/declinio,mae,0,legado,arco,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fio_voz_b2a,auge/declinio,organizada,0,importante,arco,35,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,10,9
fio_voz_b2b,auge/declinio,imprensa,0,importante,arco,87,0,0,0,0,0,0,0,0,22,31,0,0,0,0,0,0,0,0,18,16
fio_voz_b3aa,declinio/legado,imprensa,0,legado,arco,14,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,4
fio_voz_b3ab,declinio/legado,sucessor,0,legado,arco,11,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,3
fio_voz_b3ba,declinio/legado,organizada,0,legado,arco,18,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,2,4
fio_voz_b3bb,declinio/legado,imprensa,0,legado,arco,40,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,7,8
fio_heranca_b2a,declinio/legado,roupeiro,0,importante,arco,44,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,11,8
fio_heranca_b2b,declinio/legado,imprensa,0,importante,arco,42,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,9,20
fio_heranca_b3aa,legado,sucessor,0,legado,arco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fio_heranca_b3ab,legado,coord_base,0,legado,arco,13,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,2,0
fio_heranca_b3ba,legado,filho,0,legado,arco,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
fio_heranca_b3bb,legado,roupeiro,0,legado,arco,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
fisio_base_01,base/estouro,fisio,8,legado,evento,587,24,22,13,17,27,34,26,27,52,50,30,39,13,13,16,18,31,28,49,58
fisio_base_02,base,fisio,6,padrao,rotina,346,12,17,12,15,14,19,29,20,20,26,21,23,11,10,11,9,14,20,21,22
fisio_estouro_01,estouro,fisio,10,legado,evento,262,4,6,0,0,8,9,13,10,43,50,9,13,0,0,0,0,8,5,37,47
fisio_estouro_02,estouro/travessia,fisio,10,importante,evento,354,11,7,2,0,9,9,14,10,70,69,15,10,0,1,0,0,4,9,55,59
fisio_estouro_03,estouro/travessia,fisio,6,padrao,rotina,250,6,8,0,4,7,5,8,4,55,50,5,2,0,0,0,0,3,7,43,43
fisio_travessia_01,travessia,fisio,9,padrao,evento,49,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,15,16
fisio_travessia_02,travessia/auge,fisio,11,importante,arco,192,0,0,0,0,0,1,2,1,52,58,1,0,0,0,0,0,0,0,29,48
fisio_travessia_03,travessia/auge,fisio,7,padrao,evento,164,0,0,0,0,1,1,1,0,46,51,0,0,0,0,0,0,0,0,33,31
fisio_auge_01,auge/declinio,fisio,6,padrao,rotina,88,0,0,0,0,0,0,1,0,24,29,0,0,0,0,0,0,0,0,12,22
fisio_auge_02,auge,fisio,10,padrao,evento,89,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,0,15,22
fisio_auge_03,auge/declinio,fisio,9,padrao,evento,110,0,0,0,0,0,0,0,0,29,24,0,0,0,0,0,0,0,0,24,33
fisio_declinio_01,declinio,fisio,16,importante,catastrofica,28,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,5,6
fisio_declinio_02,declinio,fisio,12,importante,arco,36,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,8,11
fisio_declinio_03,declinio,fisio,7,padrao,evento,43,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,10,9
fisio_legado_01,legado,fisio,9,padrao,evento,53,0,0,0,0,0,0,0,0,11,17,0,0,0,0,0,0,0,0,13,12
fisio_legado_02,legado,fisio,12,importante,arco,52,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,16,15
fisio_base_03,base,fisio,6,padrao,rotina,316,20,18,13,8,19,16,8,14,27,21,18,17,13,8,19,9,14,16,17,21
fisio_base_04,base,fisio,9,padrao,evento,491,29,29,14,11,28,19,30,24,37,29,22,31,20,19,15,16,28,29,30,31
imprensa_estouro_01,estouro,imprensa,9,padrao,evento,243,10,7,0,0,8,6,7,8,43,39,11,7,0,0,0,0,7,5,42,43
imprensa_estouro_02,estouro,imprensa,10,padrao,evento,252,7,7,1,2,5,6,11,5,48,44,14,11,0,0,0,0,6,6,34,45
imprensa_estouro_03,estouro/travessia,imprensa,6,padrao,rotina,259,8,3,1,0,4,5,11,8,61,47,7,4,0,0,0,0,4,3,44,49
imprensa_estouro_04,estouro,imprensa,8,padrao,evento,224,7,4,1,2,4,6,11,12,41,44,11,5,0,0,0,0,6,3,31,36
imprensa_travessia_01,travessia,imprensa,10,padrao,evento,49,0,0,0,0,0,0,1,0,11,5,0,0,0,0,0,0,0,0,11,21
imprensa_travessia_02,travessia/auge,imprensa,9,padrao,evento,184,0,0,0,0,1,0,1,0,49,45,0,0,0,0,0,0,0,0,37,51
imprensa_travessia_03,travessia/auge,imprensa,11,importante,arco,208,0,0,0,0,0,0,4,0,56,57,0,0,0,0,0,0,0,0,36,55
imprensa_travessia_04,travessia/auge/declinio,imprensa,6,padrao,rotina,192,0,0,0,0,0,0,3,0,55,59,1,0,0,0,0,0,0,0,28,46
imprensa_auge_01,auge,imprensa,11,legado,arco,100,0,0,0,0,0,0,0,0,27,24,0,0,0,0,0,0,0,0,19,30
imprensa_auge_02,auge/declinio,imprensa,11,legado,arco,142,0,0,0,0,0,0,0,0,36,37,0,0,0,0,0,0,0,0,32,37
imprensa_auge_03,auge,imprensa,10,importante,arco,85,0,0,0,0,0,0,0,0,20,24,0,0,0,0,0,0,0,0,20,21
imprensa_auge_04,auge/declinio,imprensa,6,padrao,rotina,92,0,0,0,0,0,0,0,0,17,27,0,0,0,0,0,0,0,0,26,22
imprensa_auge_05,auge,imprensa,8,padrao,evento,66,0,0,0,0,0,0,0,0,20,14,0,0,0,0,0,0,0,0,16,16
imprensa_declinio_01,declinio,imprensa,13,legado,arco,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
imprensa_declinio_02,declinio,imprensa,10,padrao,evento,65,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,12,15
imprensa_declinio_03,declinio,imprensa,10,padrao,evento,26,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,3,7
imprensa_declinio_04,declinio/legado,imprensa,6,padrao,rotina,79,0,0,0,0,0,0,0,0,17,26,0,0,0,0,0,0,0,0,17,19
imprensa_legado_01,legado,imprensa,12,importante,arco,84,0,0,0,0,0,0,0,0,16,28,0,0,0,0,0,0,0,0,18,22
imprensa_legado_02,legado,imprensa,9,padrao,evento,75,0,0,0,0,0,0,0,0,15,23,0,0,0,0,0,0,0,0,16,21
imprensa_legado_03,legado,imprensa,11,importante,arco,75,0,0,0,0,0,0,0,0,14,19,0,0,0,0,0,0,0,0,17,25
imprensa_travessia_05,travessia/auge,imprensa,12,importante,arco,86,0,0,0,0,0,0,2,0,31,25,0,0,0,0,0,0,0,0,15,13
mae_base_01,base,mae,9,importante,evento,491,27,31,22,24,16,28,21,27,24,34,27,26,19,17,13,15,26,28,32,34
mae_base_02,base/estouro,mae,6,padrao,rotina,458,22,19,14,15,26,16,22,18,56,46,26,23,9,13,9,11,24,21,29,39
mae_base_03,base,mae,10,padrao,evento,464,18,26,25,19,26,25,22,29,39,28,30,29,21,9,11,9,26,27,19,26
mae_estouro_01,estouro,mae,10,padrao,evento,251,3,6,1,0,8,9,12,9,35,48,8,8,0,0,0,0,9,6,46,43
mae_estouro_02,estouro/travessia,mae,10,importante,evento,321,6,5,0,3,8,10,8,10,62,61,11,9,0,0,0,0,8,5,60,55
mae_estouro_03,estouro/travessia/auge,mae,6,padrao,rotina,318,2,6,0,0,5,6,10,5,69,75,9,9,0,0,0,0,2,2,49,69
mae_travessia_01,travessia/auge,mae,7,importante,evento,74,0,0,0,0,0,0,2,0,13,14,0,0,0,0,0,0,0,0,21,24
mae_travessia_02,travessia,mae,9,importante,evento,49,0,0,0,0,0,0,2,0,9,7,0,0,0,0,0,0,0,0,10,21
mae_travessia_03,travessia/auge,mae,12,importante,evento,217,1,0,0,0,0,0,3,0,59,59,0,0,0,0,0,0,0,0,41,54
mae_auge_01,auge,mae,6,padrao,rotina,62,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,12,18
mae_auge_02,auge,mae,10,padrao,evento,91,0,0,0,0,0,0,0,0,21,22,0,0,0,0,0,0,0,0,22,26
mae_auge_03,auge/declinio,mae,12,importante,evento,112,0,0,0,0,0,0,0,0,26,35,0,0,0,0,0,0,0,0,23,28
mae_declinio_01,declinio,mae,11,padrao,evento,78,0,0,0,0,0,0,0,0,21,26,0,0,0,0,0,0,0,0,14,17
mae_declinio_02,declinio,mae,11,padrao,evento,29,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,6,5
mae_base_04,base,mae,6,padrao,rotina,337,12,16,20,10,20,19,11,12,26,29,21,15,23,13,10,8,18,18,19,17
mae_base_05,base/estouro,mae,9,padrao,evento,647,33,16,19,27,37,27,26,34,65,58,47,30,15,19,15,16,28,26,54,55
morte_base_peneira,base,mae,4,legado,morte_subita,234,12,11,14,10,9,17,9,10,13,23,18,8,5,8,6,3,14,18,11,15
morte_base_apito,base,coord_base,4,legado,morte_subita,218,14,8,12,12,12,5,13,8,16,14,9,20,7,10,8,6,11,7,15,11
morte_estouro_tatuagem,estouro,capitao,4,legado,morte_subita,120,5,3,0,0,4,3,3,3,21,25,5,4,0,0,0,0,2,3,19,20
morte_estouro_carro,estouro,empresario,4,legado,morte_subita,97,4,2,0,0,4,1,2,6,11,15,9,3,0,0,0,0,4,1,18,17
morte_travessia_procuracao,travessia,empresario,4,legado,morte_subita,15,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,1,1
morte_travessia_live,travessia/auge,imprensa,4,legado,morte_subita,105,0,0,0,0,0,0,0,0,32,27,0,0,0,0,0,0,0,0,21,25
morte_auge_var,auge,organizada,4,legado,morte_subita,50,0,0,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,10,12
morte_auge_helicoptero,auge,apostas,4,legado,morte_subita,33,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,8,10
morte_auge_selecao,auge,imprensa,4,legado,morte_subita,35,0,0,0,0,0,0,1,0,12,10,0,0,0,0,0,0,0,0,3,9
morte_declinio_aposta,declinio,apostas,4,legado,morte_subita,17,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,3,1
morte_base_van,base,coord_base,4,legado,morte_subita,234,21,17,13,8,10,8,12,11,14,16,5,9,8,8,4,8,16,11,19,16
morte_base_pelada,base,parceiro,4,legado,morte_subita,243,8,12,5,13,13,11,19,14,15,19,15,15,3,9,11,7,14,11,18,11
morte_estouro_bicicleta,estouro,imprensa,4,legado,morte_subita,131,2,2,0,0,2,4,10,0,22,27,6,5,0,0,0,0,1,5,24,21
morte_estouro_moto,estouro,parceiro,4,legado,morte_subita,120,4,3,0,0,3,1,3,4,21,22,6,8,0,0,0,0,6,5,14,20
morte_travessia_neve,travessia,fisio,4,legado,morte_subita,89,1,1,0,0,0,0,2,0,26,19,0,0,0,0,0,0,0,0,19,21
morte_travessia_visto,travessia,empresario,4,legado,morte_subita,99,0,0,0,0,0,0,2,0,29,26,0,0,0,0,0,0,0,0,16,26
morte_auge_jetski,auge,companheira,4,legado,morte_subita,32,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,7,9
morte_declinio_infiltra,declinio,fisio,4,legado,morte_subita,29,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,7,5
morte_declinio_pesagem,declinio,treinador,4,legado,morte_subita,30,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,4,11
morte_declinio_despedida,declinio,diretor,4,legado,morte_subita,40,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,10,11
morte_legado_veterano,legado,fisio,4,legado,morte_subita,37,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,8,9
morte_legado_reserva,legado,imprensa,4,legado,morte_subita,48,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,11,13
morte_legado_homenagem,legado,organizada,4,legado,morte_subita,38,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,6,12
morte_legado_ultimo_treino,legado,roupeiro,4,legado,morte_subita,36,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,8,9
organizada_estouro_01,estouro,organizada,9,padrao,evento,212,5,4,2,0,7,5,9,7,36,36,7,11,0,0,0,0,5,3,41,34
organizada_estouro_02,estouro/travessia/auge,organizada,8,importante,evento,368,5,6,1,1,5,11,10,9,74,80,9,8,0,0,0,0,5,6,72,66
organizada_estouro_03,estouro/travessia,organizada,6,padrao,rotina,269,4,8,1,2,5,5,5,7,61,53,10,7,0,0,0,0,2,6,44,49
organizada_estouro_04,estouro,organizada,8,padrao,evento,234,5,10,0,0,9,8,9,6,38,41,17,9,0,0,0,0,7,1,33,41
organizada_travessia_01,travessia,organizada,9,padrao,evento,46,0,0,0,0,0,0,2,0,6,5,0,0,0,0,0,0,0,0,13,20
organizada_travessia_02,travessia/auge,organizada,9,padrao,evento,173,0,0,0,0,0,1,4,1,47,48,0,0,0,0,0,0,0,0,36,36
organizada_travessia_03,travessia/auge,organizada,10,padrao,evento,194,0,1,0,0,0,1,3,0,50,55,0,0,0,0,0,0,0,0,36,48
organizada_auge_01,auge,organizada,12,importante,arco,107,0,0,0,0,0,0,0,0,28,33,0,0,0,0,0,0,0,0,23,23
organizada_auge_02,auge,organizada,9,padrao,evento,82,0,0,0,0,0,0,0,0,21,27,0,0,0,0,0,0,0,0,17,17
organizada_auge_03,auge,organizada,11,padrao,evento,101,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0,20,25
organizada_auge_04,auge/declinio,organizada,6,padrao,rotina,90,0,0,0,0,0,0,0,0,24,26,0,0,0,0,0,0,0,0,14,26
organizada_declinio_01,declinio,organizada,11,padrao,evento,66,0,0,0,0,0,0,0,0,17,22,0,0,0,0,0,0,0,0,13,14
organizada_declinio_02,declinio,organizada,9,padrao,evento,73,0,0,0,0,0,0,0,0,13,25,0,0,0,0,0,0,0,0,13,22
organizada_declinio_03,declinio/legado,organizada,6,padrao,rotina,93,0,0,0,0,0,0,0,0,22,25,0,0,0,0,0,0,0,0,18,28
organizada_legado_01,legado,organizada,12,importante,arco,79,0,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,0,0,21,18
organizada_legado_02,legado,organizada,11,importante,arco,74,0,0,0,0,0,0,0,0,15,23,0,0,0,0,0,0,0,0,16,20
parceiro_base_01,base,parceiro,12,importante,arco,626,35,28,26,27,31,32,37,38,36,42,26,39,25,23,25,19,28,37,36,36
parceiro_base_02,base,parceiro,11,padrao,evento,546,26,34,22,20,26,27,31,26,36,31,33,26,21,16,15,24,25,36,34,37
parceiro_base_03,base,parceiro,6,padrao,rotina,338,13,21,13,18,13,16,16,12,26,15,23,20,9,7,16,12,16,22,20,30
parceiro_base_04,base,parceiro,12,padrao,evento,591,35,22,25,29,42,27,33,29,41,37,38,33,18,17,10,15,32,30,42,36
parceiro_base_05,base,parceiro,10,padrao,evento,471,24,24,12,21,22,21,14,28,32,27,37,23,17,19,19,13,27,28,33,30
parceiro_base_06,base,parceiro,9,padrao,evento,441,23,20,17,17,18,27,21,22,26,27,28,23,17,13,20,13,25,28,27,29
parceiro_base_07,base,parceiro,6,padrao,rotina,352,20,18,17,13,15,23,21,13,18,22,20,21,9,16,8,13,19,19,22,25
parceiro_base_08,base,parceiro,10,padrao,evento,551,34,25,27,16,30,28,28,31,30,37,31,39,12,19,17,19,35,33,30,30
parceiro_base_09,base,parceiro,12,importante,arco,613,31,33,24,29,30,32,37,35,45,36,33,35,16,19,20,17,36,36,36,33
parceiro_estouro_01,estouro,parceiro,14,importante,arco,60,0,0,1,0,0,4,1,1,7,15,5,5,0,0,0,0,0,0,11,10
parceiro_estouro_02,estouro,parceiro,10,padrao,evento,277,10,8,1,0,6,9,13,8,42,50,20,9,0,0,0,0,8,5,41,47
parceiro_estouro_03,estouro,parceiro,9,padrao,evento,221,8,3,1,2,13,6,7,8,36,47,9,9,0,0,0,0,3,4,33,32
roupeiro_base_01,base,roupeiro,6,padrao,rotina,334,12,19,14,12,17,19,21,15,19,17,19,18,10,11,13,14,18,23,20,23
roupeiro_base_02,base,roupeiro,10,padrao,evento,537,34,22,20,21,27,31,29,24,40,28,35,29,20,12,19,15,31,36,36,28
roupeiro_base_03,base/estouro,roupeiro,6,padrao,rotina,444,16,16,14,18,25,14,21,25,40,54,23,25,12,2,6,12,26,21,34,40
roupeiro_base_04,base,roupeiro,9,padrao,evento,458,26,21,27,19,22,22,24,25,22,24,29,30,23,12,22,17,24,20,25,24
roupeiro_base_05,base,roupeiro,11,padrao,evento,538,37,28,23,25,27,26,33,24,33,32,32,24,20,22,26,13,37,20,28,28
roupeiro_estouro_01,estouro/travessia,roupeiro,6,padrao,rotina,269,5,5,0,1,4,3,8,8,68,48,9,10,0,0,0,0,6,2,38,54
roupeiro_travessia_01,travessia,roupeiro,9,padrao,evento,83,0,0,0,0,0,0,2,0,17,12,0,0,0,0,0,0,0,0,21,31
roupeiro_auge_01,auge,roupeiro,9,padrao,evento,73,0,0,0,0,0,0,0,0,17,20,0,0,0,0,0,0,0,0,15,21
roupeiro_declinio_01,declinio,roupeiro,11,padrao,evento,64,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,15,24
roupeiro_declinio_02,declinio,roupeiro,6,padrao,rotina,47,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,10,7
roupeiro_legado_01,legado,roupeiro,12,importante,arco,80,0,0,0,0,0,0,0,0,19,22,0,0,0,0,0,0,0,0,16,23
roupeiro_vida2_01,base/estouro,roupeiro,14,padrao,evento,877,38,30,38,26,43,44,42,41,75,73,48,50,17,25,25,30,37,51,70,74
roupeiro_vida3_01,base/estouro/travessia,roupeiro,16,importante,arco,981,51,44,36,35,50,44,49,48,85,89,51,44,23,30,25,28,41,48,79,81
roupeiro_vida4_01,base/estouro/travessia/auge,roupeiro,18,importante,arco,1068,48,45,36,37,53,55,46,48,92,93,58,59,25,30,23,32,56,57,83,92
sucessor_declinio_01,declinio,sucessor,12,legado,evento,77,0,0,0,0,0,0,0,0,18,21,0,0,0,0,0,0,0,0,14,24
sucessor_declinio_02,declinio,sucessor,11,padrao,evento,80,0,0,0,0,0,0,0,0,22,20,0,0,0,0,0,0,0,0,17,21
sucessor_declinio_03,declinio,sucessor,9,padrao,evento,55,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,13,12
sucessor_declinio_04,declinio,sucessor,6,padrao,rotina,56,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,15,13
sucessor_declinio_05,declinio,sucessor,10,padrao,evento,12,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,2
